name,area,category,rating,reviews,price_text,price_min,price_max,address,distance_m,hours,website,matched_osm,source_maps
เพียร์ 21,อโศก,ศูนย์อาหาร,4.5,24138,฿1-200,1,200,ชั้น 5 88 ถ. สุขุมวิท,67,ปิดเวลา 22:00,,False,https://www.google.com/maps/place/%E0%B9%80%E0%B8%9E%E0%B8%B5%E0%B8%A2%E0%B8%A3%E0%B9%8C+21/data=!4m7!3m6!1s0x30e29ee39e563b0b:0x33ce8f75edc2c9c5!8m2!3d13.737625!4d100.5606201!16s%2Fg%2F11c3286pb5!19sChIJCztWnuOe4jARxcnC7XWPzjM?authuser=0&hl=th&rclk=1
Amritsr Indian Restaurant,อโศก,อินเดีย,4.8,11656,"฿200-1,000",200,1000,ซ. สุขุมวิท 22,733,ปิดเวลา 04:00,,False,https://www.google.com/maps/place/Amritsr+Indian+Restaurant/data=!4m7!3m6!1s0x30e29f02825c8b1d:0x832026f6f68e9c71!8m2!3d13.7328252!4d100.565086!16s%2Fg%2F11hbntg1x4!19sChIJHYtcggKf4jARcZyO9vYmIIM?authuser=0&hl=th&rclk=1
นิคุโช,อโศก,ปิ้งย่างยากินิกุ,4.8,8500,"฿400-1,400",400,1400,,756,ปิดเวลา 22:00,,False,https://www.google.com/maps/place/%E0%B8%99%E0%B8%B4%E0%B8%84%E0%B8%B8%E0%B9%82%E0%B8%8A/data=!4m7!3m6!1s0x30e29f72f4eea7e3:0xc7f18b36fed194ba!8m2!3d13.7345872!4d100.5665223!16s%2Fg%2F11h12ht3b0!19sChIJ46fu9HKf4jARupTR_jaL8cc?authuser=0&hl=th&rclk=1
อะแบนดอน แมนชัน,อโศก,บาร์ดนตรีสด,4.8,6768,"฿400-1,600",400,1600,41 Soi Sukhumvit 14,227,ปิดเวลา 02:00,,False,https://www.google.com/maps/place/%E0%B8%AD%E0%B8%B0%E0%B9%81%E0%B8%9A%E0%B8%99%E0%B8%94%E0%B8%AD%E0%B8%99+%E0%B9%81%E0%B8%A1%E0%B8%99%E0%B8%8A%E0%B8%B1%E0%B8%99/data=!4m7!3m6!1s0x30e29f66016968f3:0xdc3e00a1dc1cf220!8m2!3d13.735257!4d100.5600491!16s%2Fg%2F11rvc08sqj!19sChIJ82hpAWaf4jARIPIc3KEAPtw?authuser=0&hl=th&rclk=1
Sunrise Tacos MEXICAN GRILL,อโศก,เม็กซิกัน,4.7,4999,฿200-400,200,400,88 ซอย สุขุมวิท 19,80,ปิดเวลา 22:00,https://www.sunrisetacos.com/,True,https://www.google.com/maps/place/Sunrise+Tacos+MEXICAN+GRILL/data=!4m7!3m6!1s0x30e29ee3a1b5aac5:0xe40b4f7a8a87fc3a!8m2!3d13.737971!4d100.5603725!16s%2Fg%2F1pw3yr2gj!19sChIJxaq1oeOe4jAROvyHinpPC-Q?authuser=0&hl=th&rclk=1
ปาล่า พิซซ่า โรมานา,อโศก,พิซซ่า,4.5,4495,฿200-600,200,600,Room 1 BTS/MRT ซ. สุขุมวิท 23,96,ปิดเวลา 22:30,,False,https://www.google.com/maps/place/%E0%B8%9B%E0%B8%B2%E0%B8%A5%E0%B9%88%E0%B8%B2+%E0%B8%9E%E0%B8%B4%E0%B8%8B%E0%B8%8B%E0%B9%88%E0%B8%B2+%E0%B9%82%E0%B8%A3%E0%B8%A1%E0%B8%B2%E0%B8%99%E0%B8%B2/data=!4m7!3m6!1s0x30e29ee30600dd73:0x9271d945d544eebc!8m2!3d13.7369303!4d100.5608983!16s%2Fg%2F11_q_h2yj!19sChIJc90ABuOe4jARvO5E1UXZcZI?authuser=0&hl=th&rclk=1
ครัวคุณปุ๊ก,อโศก,ไทย,4.4,3874,฿200-400,200,400,155 ซอย สุขุมวิท 11/1,482,ปิดเวลา 04:00,,False,https://www.google.com/maps/place/%E0%B8%84%E0%B8%A3%E0%B8%B1%E0%B8%A7%E0%B8%84%E0%B8%B8%E0%B8%93%E0%B8%9B%E0%B8%B8%E0%B9%8A%E0%B8%81/data=!4m7!3m6!1s0x30e29f7acbd74e2f:0xa5e92b66b13296be!8m2!3d13.739982!4d100.5565886!16s%2Fg%2F11fjnbg8bj!19sChIJL07Xy3qf4jARvpYysWYr6aU?authuser=0&hl=th&rclk=1
El Gaucho,อโศก,สเต็ก,4.4,3814,"฿2,000+",2000,,8 ซอย วัฒนา,68,Mo-Su 17:00-24:00,,True,https://www.google.com/maps/place/El+Gaucho/data=!4m7!3m6!1s0x30e29ee39852036b:0xfa2b066c95617640!8m2!3d13.7378567!4d100.5598421!16s%2Fg%2F1hm69x953!19sChIJawNSmOOe4jARQHZhlWwGK_o?authuser=0&hl=th&rclk=1
Indulge Restaurant & Cocktail Bar,อโศก,ไทย,4.7,3689,"฿400-1,400",400,1400,"403-403/1, 407 407/1 ถ. สุขุมวิท",234,ปิดเวลา 01:00,,False,https://www.google.com/maps/place/Indulge+Restaurant+%26+Cocktail+Bar/data=!4m7!3m6!1s0x30e29ee31e36ccbd:0x5f4b13707be34836!8m2!3d13.736193!4d100.56194!16s%2Fg%2F11cn9jblfq!19sChIJvcw2HuOe4jARNkjje3ATS18?authuser=0&hl=th&rclk=1
เสวย เทอร์มินอล 21 อโศก,อโศก,อาหารทะเล,4.6,3616,"฿200-1,200",200,1200,ห้องเลขที่ SH-5 ศูนย์การค้าเทอร์มินอล 21 015 ชั้นที่ 5 อโศก 88,81,ปิดเวลา 22:00,,False,https://www.google.com/maps/place/%E0%B9%80%E0%B8%AA%E0%B8%A7%E0%B8%A2+%E0%B9%80%E0%B8%97%E0%B8%AD%E0%B8%A3%E0%B9%8C%E0%B8%A1%E0%B8%B4%E0%B8%99%E0%B8%AD%E0%B8%A5+21+%E0%B8%AD%E0%B9%82%E0%B8%A8%E0%B8%81/data=!4m7!3m6!1s0x30e29f88fad3a7d5:0xd4c98e6dab855fbe!8m2!3d13.7379635!4d100.5604058!16s%2Fg%2F11j1f9kyrp!19sChIJ1afT-oif4jARvl-Fq22OydQ?authuser=0&hl=th&rclk=1
